Name,weeks,potential_points,active_flare_weeks,latest_new_point_mjd,latest_new_point_flux,latest_flare_flux_threshold,latest_potential_flare_point,latest_flare_active,latest_mdp99_percent,latest_mdp99_available,latest_potential_mdp99_percent,best_potential_mdp99_percent,latest_active_mdp99_percent,best_active_mdp99_percent,peak_potential_flux,mean_potential_flux,source_average_flux,latest_new_point_flux_cosi,latest_threshold_cosi_flux,cadence_run,lookback_weeks_run,detection_method_run,confirmed_flare_weeks,latest_confirmed_flare_active,latest_confirmed_sigma_delta,flare_threshold_multiplier_run,latest_flaring_downward_steps,omit_from_attention,quiescent_background_origin,scan_csv,flare_plot,potential_flare_plot,confirmed_flare_plot
4FGL J0836.2+2141,4,0,0,60773.00001157408,1.2e-07,,False,False,,False,,,,,,,0.0014569476124097122,0.0022463260569979535,,weekly,30.0,both,0,False,,3.0,0,False,computed,DownloadedLC/incremental/4FGL_J0836.2+2141_incremental_scan_thr3p0.csv,,,
4FGL J2151.8-3027,9,0,0,60850.00001157408,1.18e-07,,False,False,,False,,,,,,,0.00043610574040681176,0.00036938563981454646,,weekly,30.0,both,0,False,,3.0,0,False,computed,DownloadedLC/incremental/4FGL_J2151.8-3027_incremental_scan_thr3p0.csv,,,
4FGL J0538.8-4405,29,0,0,60850.00001157408,1.14e-07,5.110500000000001e-07,False,False,,False,,,,,,,8.341242257335156e-05,4.835980948238277e-05,0.00021679193540326069,weekly,30.0,both,8,False,-1.8549386617309773,3.0,0,False,cache,DownloadedLC/incremental/4FGL_J0538.8-4405_incremental_scan_thr3p0.csv,,,
4FGL J0227.2+3928,3,0,0,60619.00001157408,1.04e-07,,False,False,,False,,,,,,,0.00016762224429710826,0.00024213503198424808,,weekly,30.0,both,0,False,,3.0,0,False,computed,DownloadedLC/incremental/4FGL_J0227.2+3928_incremental_scan_thr3p0.csv,,,
4FGL J2143.5+1743,4,0,0,60745.00001157408,1.03e-07,,False,False,,False,,,,,,,0.00015257383456004385,0.00010285087423778396,,weekly,30.0,both,0,False,,3.0,0,False,computed,DownloadedLC/incremental/4FGL_J2143.5+1743_incremental_scan_thr3p0.csv,,,
4FGL J2229.7-0832,11,0,0,60843.00001157408,9.9e-08,,False,False,,False,,,,,,,0.00010578931353257712,7.999144121870934e-05,,weekly,30.0,both,0,False,,3.0,0,False,computed,DownloadedLC/incremental/4FGL_J2229.7-0832_incremental_scan_thr3p0.csv,,,
4FGL J2211.2-1325,27,6,0,60843.00001157408,9.36e-08,4.258909090909091e-07,False,False,,False,443.25540825691434,188.57456466242832,,,0.0009193855642971162,0.0006703640015536815,0.0001375751386164013,9.5722456972425e-05,0.0004355483356880504,weekly,30.0,both,20,False,-1.208144113973726,3.0,0,False,cache,DownloadedLC/incremental/4FGL_J2211.2-1325_incremental_scan_thr3p0.csv,,,
4FGL J1512.8-0906,24,0,0,60850.00001157408,8.78e-08,,False,False,,False,,,,,,,0.0002583128031890097,3.794656642481313e-05,,weekly,30.0,both,0,False,,3.0,0,False,computed,DownloadedLC/incremental/4FGL_J1512.8-0906_incremental_scan_thr3p0.csv,,,
4FGL J1248.9+4840,3,0,0,60773.00001157408,8.62e-08,,False,False,,False,,,,,,,0.000558952822565403,0.0008895342400693757,,weekly,30.0,both,0,False,,3.0,0,False,computed,DownloadedLC/incremental/4FGL_J1248.9+4840_incremental_scan_thr3p0.csv,,,
4FGL J0841.3+7053,6,0,0,60843.00001157408,7.27e-08,,False,False,,False,,,,,,,0.00019057540035632766,0.00010036772580813826,,weekly,30.0,both,0,False,,3.0,0,False,computed,DownloadedLC/incremental/4FGL_J0841.3+7053_incremental_scan_thr3p0.csv,,,
4FGL J0403.9-3605,17,2,0,60843.00001157408,6.44e-08,1.898307692307693e-07,False,False,,False,2244.564756398527,2244.564756398527,,,7.279305664641565e-05,7.143243876517423e-05,7.332626902591702e-05,2.190594788798676e-05,6.457178475629928e-05,weekly,30.0,both,4,False,0.034448729768097736,3.0,0,False,cache,DownloadedLC/incremental/4FGL_J0403.9-3605_incremental_scan_thr3p0.csv,,,
4FGL J1332.0-0509,7,0,0,60850.00001157408,6.15e-08,,False,False,,False,,,,,,,0.00012045095536515351,4.852532385283379e-05,,weekly,30.0,both,0,False,,3.0,0,False,computed,DownloadedLC/incremental/4FGL_J1332.0-0509_incremental_scan_thr3p0.csv,,,
4FGL J0625.8-5441,1,0,0,60787.00001157408,5.93e-08,,False,False,,False,,,,,,,0.0005843739326743911,0.000551212471175183,,weekly,30.0,both,0,False,,3.0,0,False,computed,DownloadedLC/incremental/4FGL_J0625.8-5441_incremental_scan_thr3p0.csv,,,
4FGL J1740.5+5211,28,0,0,60843.00001157408,5.21e-08,,False,False,,False,,,,,,,4.916367012708041e-05,3.00329848343545e-05,,weekly,30.0,both,0,False,,3.0,0,False,computed,DownloadedLC/incremental/4FGL_J1740.5+5211_incremental_scan_thr3p0.csv,,,
4FGL J2327.5+0939,10,0,0,60850.00001157408,4.71e-08,2.5210000000000004e-07,False,False,,False,,,,,,,0.00022227812195352078,0.00011306785735633776,0.0006051891048733069,weekly,30.0,both,2,False,-1.2724073052359728,3.0,0,False,cache,DownloadedLC/incremental/4FGL_J2327.5+0939_incremental_scan_thr3p0.csv,,,
4FGL J0217.4+7352,21,1,0,60689.00001157408,4.34e-08,3.5755263157894743e-07,False,False,,False,83.82760953382366,83.82760953382366,,,0.0027077331817334017,0.0027077331817334017,0.0003533153680762278,0.0001387433531136123,0.0011430426502271713,weekly,30.0,both,1,False,-2.5927845092830495,3.0,0,False,cache,DownloadedLC/incremental/4FGL_J0217.4+7352_incremental_scan_thr3p0.csv,,,
4FGL J1224.9+2122,3,0,0,60850.00001157408,4.24e-08,,False,False,,False,,,,,,,0.00011038492816447398,1.4280764282592945e-05,,weekly,30.0,both,0,False,,3.0,0,False,computed,DownloadedLC/incremental/4FGL_J1224.9+2122_incremental_scan_thr3p0.csv,,,
4FGL J0539.9-2839,7,0,0,60843.00001157408,3.85e-08,,False,False,,False,,,,,,,0.00034505863117350374,0.00012245129833164737,,weekly,30.0,both,0,False,,3.0,0,False,computed,DownloadedLC/incremental/4FGL_J0539.9-2839_incremental_scan_thr3p0.csv,,,
4FGL J1626.0-2950,16,1,0,60829.00001157408,3.6e-08,4.01775e-07,False,False,,False,414.99746425866783,414.99746425866783,,,0.000540863125732606,0.000540863125732606,0.00014519802719228662,3.4159776362059326e-05,0.00038123733744073294,weekly,30.0,both,2,False,-2.2667702612515632,3.0,0,False,cache,DownloadedLC/incremental/4FGL_J1626.0-2950_incremental_scan_thr3p0.csv,,,
4FGL J1044.6+8053,10,0,0,60836.00001157408,3.52e-08,,False,False,,False,,,,,,,5.069713327541443e-05,3.1228695039111625e-05,,weekly,30.0,both,0,False,,3.0,0,False,computed,DownloadedLC/incremental/4FGL_J1044.6+8053_incremental_scan_thr3p0.csv,,,
4FGL J2147.3-7536,4,0,0,60633.00001157408,3.06e-08,,False,False,,False,,,,,,,0.00010497458525027386,1.9971046176161533e-05,,weekly,30.0,both,0,False,,3.0,0,False,computed,DownloadedLC/incremental/4FGL_J2147.3-7536_incremental_scan_thr3p0.csv,,,
4FGL J1615.6+2130,7,0,0,60815.00001157408,2.93e-08,,False,False,,False,,,,,,,0.0008581888068159021,0.00034420006706553576,,weekly,30.0,both,0,False,,3.0,0,False,computed,DownloadedLC/incremental/4FGL_J1615.6+2130_incremental_scan_thr3p0.csv,,,
4FGL J0920.3-0443,4,0,0,60801.00001157408,2.77e-08,,False,False,,False,,,,,,,0.00032908601788583715,0.00012840120004137953,,weekly,30.0,both,0,False,,3.0,0,False,computed,DownloadedLC/incremental/4FGL_J0920.3-0443_incremental_scan_thr3p0.csv,,,
4FGL J1153.4+4931,2,0,0,60836.00001157408,2.71e-08,,False,False,,False,,,,,,,7.73580433786346e-05,2.5372389204441025e-05,,weekly,30.0,both,0,False,,3.0,0,False,computed,DownloadedLC/incremental/4FGL_J1153.4+4931_incremental_scan_thr3p0.csv,,,
4FGL J1849.2+6705,10,0,0,60843.00001157408,2.62e-08,,False,False,,False,,,,,,,3.0466128391912254e-05,9.32092868927846e-06,,weekly,30.0,both,0,False,,3.0,0,False,computed,DownloadedLC/incremental/4FGL_J1849.2+6705_incremental_scan_thr3p0.csv,,,
4FGL J0044.2-8424,1,0,0,60745.00001157408,8.56e-09,,False,False,,False,,,,,,,0.00023271972433553358,2.4883605216210964e-05,,weekly,30.0,both,0,False,,3.0,0,False,computed,DownloadedLC/incremental/4FGL_J0044.2-8424_incremental_scan_thr3p0.csv,,,
4FGL J2056.2-4714,1,0,0,60787.00001157408,1.21e-09,,False,False,,False,,,,,,,8.223482001687705e-05,4.783177407263152e-07,,weekly,30.0,both,0,False,,3.0,0,False,computed,DownloadedLC/incremental/4FGL_J2056.2-4714_incremental_scan_thr3p0.csv,,,
