Table 1 
Constraints on Parameters of the Hard X-Ray Continuum Model


Target Name	${\chi }^{2}/\nu $	${p}_{\mathrm{null}}$ /%	Gamma	${E}_{\mathrm{cut}}$/keV	tau _e ^a	Notes ^b	
IC 4518A	125.9/130	59	${1.8}_{-0.1}^{+0.2}$	${120}_{-50}^{+150}$	2.3	cdots	
2MASX J1506	78.2/94	88	${1.71}_{-0.09}^{+0.06}$	$\gt 140$	2.4	cdots	
NGC 5899	227.3/239	70	${1.96}_{-0.05}^{+0.08}$	$\gt 340$	0.6	cdots	
MCG +11-19-006	85.2/72	14	${1.5}_{-0.4}^{+0.2}$	$\gt 60$	5.5	1.9	
MCG -01-40-001	159.8/210	99	1.8 +or- 0.1	${260}_{-130}^{+u}$	1.0	1.9	
NGC 5995	394.8/393	46	${2.02}_{-0.01}^{+0.05}$	$\gt 340$	0.6	1.9	
MCG +14-08-004	92.0/99	68	1.7 +or- 0.2	$\gt 120$	2.6	cdots	
Mrk 1498	325.3/307	23	${1.35}_{-0.05}^{+0.10}$	60 +or- 10	6.8	RL	
IRAS 16288+3929	54.2/66	85	1.7 +or- 0.3	${130}_{-70}^{+u}$	2.7	cdots	
ESO 137-G034	81.4/84	56	${1.81}_{-0.25}^{+0.05}$	$\gt 160$	1.8	cdots	
LEDA 214543	294.4/340	96	1.83 +or- 0.09	$\gt 170$	1.6	cdots	
NGC 6240	309.9/319	63	1.4 +or- 0.2	${90}_{-30}^{+70}$	4.6	1.9	
NGC 6300	338.2/303	8	1.85 +or- 0.06	${210}_{-50}^{+100}$	1.1	A	
MCG +07-37-031	203.9/192	26	1.66 +or- 0.09	${200}_{-90}^{+u}$	1.9	cdots	
2MASX J1824	152.2/162	70	${1.8}_{-0.2}^{+0.1}$	$\gt 110$	2.5	1.9	
IC 4709	212.5/218	59	1.8 +or- 0.2	${140}_{-60}^{+200}$	2.1	cdots	
LEDA 3097193	376.4/392	70	1.78 +or- 0.07	${130}_{-40}^{+110}$	2.3	cdots	
ESO 103-G035	327.9/349	78	1.78 +or- 0.05	${100}_{-10}^{+20}$	2.7	1.9	
ESO 231-G026	186.1/234	99	${1.67}_{-0.11}^{+0.03}$	$\gt 250$	1.3	cdots	
2MASX J1926	76.5/90	84	1.9 +or- 0.2	${150}_{-80}^{+u}$	1.8	cdots	
2MASX J1947	245.0/252	61	1.8 +or- 0.1	${120}_{-40}^{+110}$	2.5	cdots	
3C 403	168.0/180	73	1.5 +or- 0.2	$\gt 110$	3.6	RL	
Cyg A	629.3/633	53	1.58 +or- 0.08	${130}_{-30}^{+70}$	2.9	B, RL	
2MASX J2006	102.0/113	76	1.9 +or- 0.2	$\gt 80$	2.6	cdots	
2MASX J2018	240.2/253	71	1.6 +or- 0.2	${170}_{-70}^{+u}$	2.4	cdots	
2MASX J2021	134.1/133	46	1.7 +or- 0.2	$\gt 90$	3.1	cdots	
NGC 6921	42.2/68	99	1.7 +or- 0.2	${190}_{-90}^{+u}$	1.7	C	
MCG +04-48-002	70.2/74	60	1.7 +or- 0.2	$\gt 150$	2.3	C	
IC 5063	291.5/287	42	${1.7}_{-0.1}^{+0.2}$	${220}_{-90}^{+u}$	1.3	RL	
NGC 7130	82.1/72	20	${1.91}_{-0.30}^{+0.07}$	$\gt 100$	2.4	1.9	
NGC 7172	774.5/769	44	1.88 +or- 0.02	$\gt 670$	0.4	A	
MCG +06-49-019	59.3/60	50	${1.57}_{-0.08}^{+0.06}$	$\gt 200.0$	2.2	1.9	
NGC 7319	95.7/93	40	${1.71}_{-0.18}^{+0.04}$	$\gt 220$	1.4	cdots	
3C 452	357.1/418	99	1.3 +or- 0.1	${70}_{-20}^{+40}$	6.2	RL, 1.9	
NGC 7582	294.4/298	55	1.7 +or- 0.2	${200}_{-80}^{+190}$	1.8	cdots	
2MASX J2330	71.1/78	70	1.7 +or- 0.3	$\gt 70$	3.7	cdots	
PKS 2331-240	304.6/278	13	1.80 +or- 0.05	${220}_{-110}^{+u}$	1.2	RL	
PKS 2356-61	127.6/157	96	1.7 +or- 0.2	${160}_{-80}^{+u}$	2.1	RL	
Notes.
^a Optical depth approximately calculated using Equation (3) and best-fit spectral parameters Gamma and ${E}_{\mathrm{cut}}$ (or lower limit if best-fit value for the latter is undefined). Values greater than 3 are highlighted in bold font.
^b Notes: A = details discussed in the Appendix; B = Swift/BAT data excluded from spectral fitting; C = NuSTAR or Swift/XRT data co-added; X = Swift/XRT data not included; RL = radio-loud AGNs (see Section 4.2.3); 1.9 = optical type 1.9 according to Koss et al. (2017).
