#,Swift_BAT_name,BAT_ra,BAT_dec,SNR,COUNTERPART_NAME,OTHER_NAME,CTPT_RA,CTPT_DEC,Flux_BAT,FLUX_LO,FLUX_HI,CONTA,index_BAT,GAMM2,GAMM3,CHI_SQ_R,REDSHIF,LUM,ASSOC_STREN,CL2,Type_BAT
431,SWIFTJ0845.0-3531,131.348,-35.497,7.59,1RXSJ084521.7-353048,,131.3404,-35.5133,12.68,9.22,14.43,0.0,2.15,1.73,2.65,0.10,0.1370,44.80,,40,Sy1
432,SWIFTJ0845.3+1420,131.333,14.346,10.68,2MASXJ08451850+1420345,,131.3272,14.3428,21.50,17.33,23.62,0.0,1.86,1.56,2.19,0.20,0.0606,44.28,,50,Sy1.9
433,SWIFTJ0854.3-0827,133.570,-8.447,3.17,SWIFTJ085429.35-082428.6,,133.6218,-8.4075,5.08,1.24,7.02,0.0,2.10,0.89,4.17,1.80,,,,12,U2
434,SWIFTJ0855.6+6425,133.882,64.413,8.80,MCG+11-11-032,,133.8023,64.3959,15.98,13.75,18.41,0.0,1.72,1.34,2.14,2.20,0.0360,43.68,,50,Sy2
435,SWIFTJ0855.7-2856,133.888,-28.874,6.80,2MASXJ08551746-2854218,,133.8228,-28.9059,10.59,8.50,12.85,0.0,2.22,1.68,2.93,0.70,,,,50,Sy2
436,SWIFTJ0856.0+7812,133.903,78.201,7.88,NGC2655,,133.9072,78.2231,12.83,10.80,15.03,0.0,1.91,1.55,2.33,1.30,0.0047,41.80,,50,Sy2
437,SWIFTJ0859.5+4457,134.836,44.921,7.13,NGC2712,,134.8770,44.9139,10.01,8.14,12.04,0.0,2.28,1.82,2.85,1.10,0.0061,41.92,,50,Sy2
438,SWIFTJ0902.1-4034,135.528,-40.555,3031.67,VelaX-1,,135.5286,-40.5547,4018.59,4017.08,4020.23,0.0,2.91,2.91,2.91,80154.00,,,,180,HMXB
439,SWIFTJ0902.0+6007,135.558,60.146,8.13,Mrk18,,135.4930,60.1520,14.85,11.51,17.00,0.0,1.67,1.28,2.09,0.80,0.0111,42.61,,50,Sy1.9
440,SWIFTJ0902.7-6816,135.625,-68.222,9.35,NGC2788A,,135.6640,-68.2270,21.46,17.93,23.72,0.0,1.52,1.26,1.78,2.20,0.0133,42.93,,50,Sy2
441,SWIFTJ0902.7-4814,135.671,-48.218,15.27,2MASXJ09023729-4813339,,135.6555,-48.2261,28.82,25.58,30.91,0.0,1.88,1.68,2.09,1.50,0.0391,44.01,,40,Sy1
442,SWIFTJ0902.8-7414,135.793,-74.229,4.83,2MASXJ09034285-7414170,,135.9287,-74.2381,12.36,8.59,14.79,0.0,1.31,0.73,1.87,0.80,0.0910,44.41,,50,Sy2
443,SWIFTJ0904.3+5538,136.160,55.572,10.18,2MASXJ09043699+5536025,,136.1540,55.6008,13.15,11.13,15.29,0.0,2.32,1.96,2.73,1.80,0.0370,43.62,,40,Sy1.2
444,SWIFTJ0908.9-0933,137.229,-9.654,18.29,ABELL754,,137.2087,-9.6366,21.90,20.49,23.41,0.0,3.73,3.44,4.05,2.30,,,,30,GalaxyCluster
445,SWIFTJ0909.0+0358,137.265,3.941,8.04,1RXSJ090915.6+035453,,137.3164,3.9119,15.65,12.88,18.57,0.0,1.88,1.51,2.28,1.60,3.2000,48.15,,40,Sy1;broad-lineAGN
446,SWIFTJ0911.2+4533,137.869,45.486,11.75,2MASXJ09112999+4528060,,137.8749,45.4683,18.59,16.31,20.97,0.0,2.06,1.78,2.36,1.60,0.0268,43.48,,50,Sy2
447,SWIFTJ0917.2-6221,139.034,-62.328,19.87,IRAS09149-6206,,139.0392,-62.3249,29.09,27.05,31.22,0.0,2.33,2.16,2.53,0.30,0.0573,44.36,,40,Sy1
448,SWIFTJ0917.2-6457,139.347,-64.915,6.94,2MASXJ09172716-6456271,,139.3634,-64.9409,11.52,9.45,13.89,0.0,2.06,1.66,2.55,0.80,0.0900,44.37,,50,Sy2
449,SWIFTJ0918.5+1618,139.614,16.313,20.04,Mrk704,,139.6084,16.3053,36.84,34.43,39.57,0.0,2.02,1.87,2.18,1.20,0.0292,43.86,,40,Sy1.2
450,SWIFTJ0919.2+5528,139.872,55.383,6.18,SBS0915+556,,139.8050,55.4653,10.02,7.78,12.60,0.0,1.76,1.29,2.29,1.00,0.0494,43.76,,50,Sy2
451,SWIFTJ0920.1+3712,140.019,37.199,11.99,IC2461,,139.9920,37.1910,19.11,16.93,21.59,0.0,1.94,1.65,2.26,0.60,0.0075,42.38,,50,Sy2
452,SWIFTJ0920.5-5511,140.114,-55.207,66.83,4U0919-54,,140.1105,-55.2070,92.71,90.85,94.73,0.0,2.52,2.46,2.58,1.30,,,,190,LMXB
453,SWIFTJ0920.8-0805,140.209,-8.063,25.10,MCG-01-24-012,,140.1927,-8.0561,46.38,43.85,49.13,0.0,2.11,1.98,2.24,2.30,0.0196,43.61,,50,Sy2
454,SWIFTJ0923.6-2136,140.913,-21.612,9.54,PKS0921-213,,140.9120,-21.5964,18.79,16.17,21.60,0.0,1.97,1.65,2.33,0.40,0.0520,44.08,,80,BeamedAGN
455,SWIFTJ0923.7+2255,140.940,22.923,20.31,MCG+04-22-042,,140.9292,22.9090,35.66,33.32,38.19,0.0,2.07,1.91,2.24,0.40,0.0323,43.93,,40,Sy1.2
456,SWIFTJ0924.2-3141,141.006,-31.700,10.40,2MASXJ09235371-3141305,,140.9739,-31.6919,14.10,12.29,16.00,0.0,2.89,2.41,3.57,1.80,0.0422,43.77,,50,Sy2
457,SWIFTJ0925.2-8423,141.429,-84.387,5.48,2MASXJ09261742-8421330,,141.5735,-84.3593,8.10,6.20,9.96,0.0,2.14,1.33,3.19,1.40,0.0632,43.89,,50,Sy1.9
458,SWIFTJ0925.0+5218,141.312,52.277,37.68,Mrk110,,141.3036,52.2863,60.95,58.99,62.82,0.0,1.98,1.89,2.06,0.50,0.0353,44.25,,40,Sy1.5
459,SWIFTJ0926.1+6931,141.466,69.491,8.14,2MASXJ09254750+6927532,,141.4481,69.4648,11.92,10.03,13.75,0.0,2.06,1.69,2.47,1.20,0.0390,43.63,,50,Sy1.9
460,SWIFTJ0926.2+1244,141.530,12.735,10.59,Mrk705,,141.5137,12.7343,18.03,15.89,20.09,0.0,2.17,1.87,2.51,1.60,0.0291,43.54,,40,Sy1.2
461,SWIFTJ0927.3+2301,141.853,23.024,3.55,NGC2885,,141.8271,23.0201,13.96,11.05,17.92,0.0,0.88,0.00,1.51,0.40,0.0263,43.34,,40,Sy1.2
462,SWIFTJ0927.7-6945,141.901,-69.758,7.40,SWIFTJ092752.58-694438.8,,141.9696,-69.7447,8.50,7.31,10.03,0.0,3.21,2.71,3.85,1.90,,,,12,U2
463,SWIFTJ0929.7+6232,142.365,62.519,7.28,CGCG312-012,,142.4077,62.5440,10.65,8.87,13.06,0.0,1.99,1.60,2.45,1.80,0.0256,43.20,,50,Sy2
464,SWIFTJ0931.5-5105,142.868,-51.119,7.49,SWIFTJ093118.1-510845,,142.8258,-51.1455,9.29,7.89,11.14,0.0,2.91,2.39,3.57,1.20,,,,12,U2
465,SWIFTJ0934.7-2156,143.707,-21.929,6.87,ESO565-G019,,143.6815,-21.9278,20.03,17.38,24.58,0.0,1.38,0.98,1.78,0.40,0.0163,43.08,,50,Sy2
466,SWIFTJ0935.5+2616,143.870,26.275,7.20,2MASXJ09352707+2617093,,143.8629,26.2860,10.69,9.04,13.47,0.0,2.37,1.91,2.95,0.80,0.1222,44.62,,40,Sy1.2
467,SWIFTJ0935.9+6120,143.843,61.358,5.16,MCG+10-14-025,,143.9652,61.3531,7.13,5.46,9.91,0.0,2.11,1.49,2.89,0.40,0.0394,43.41,,50,Sy1.9
468,SWIFTJ0936.2-6553,144.072,-65.834,6.89,2MASXJ09360622-6548336,,144.0260,-65.8093,12.52,10.62,15.79,0.0,1.90,1.52,2.33,1.10,0.0392,43.65,,50,Sy2
469,SWIFTJ0939.7-3224,144.976,-32.450,5.16,1RXSJ093949.2-322620,,144.9550,-32.4390,6.11,4.61,8.37,0.0,3.17,2.14,4.87,1.40,,,,90,CV
470,SWIFTJ0942.2+2344,145.558,23.712,7.02,CGCG122-055,,145.5200,23.6853,13.55,10.75,17.10,0.0,1.83,1.41,2.30,1.10,0.0214,43.15,,40,Sy1.5
471,SWIFTJ0945.6-1420,146.424,-14.334,15.44,NGC2992,,146.4252,-14.3264,32.65,29.52,36.63,0.0,1.89,1.69,2.10,0.20,0.0077,42.63,,50,Sy1.9
472,SWIFTJ0947.6-3057,146.918,-30.948,119.94,MCG-05-23-016,,146.9173,-30.9489,209.62,206.89,213.09,0.0,2.19,2.17,2.22,10.40,0.0085,43.53,,50,Sy1.9
473,SWIFTJ0947.7+0726,146.954,7.450,12.79,3C227,,146.9380,7.4224,22.82,20.01,26.40,0.0,2.05,1.79,2.33,0.50,0.0858,44.62,,40,Sy1.2
474,SWIFTJ0950.5+7318,147.458,73.291,9.92,VIIZw292,,147.4410,73.2400,14.79,12.02,16.43,0.0,1.93,1.59,2.31,0.90,0.0581,44.08,,50,Sy2
475,SWIFTJ0951.9-0649,148.007,-6.814,7.76,NGC3035,,147.9793,-6.8229,16.51,12.95,18.62,0.0,1.83,1.46,2.25,0.60,0.0145,42.89,,50,Sy1.9
476,SWIFTJ0952.3-6234,148.100,-62.576,8.00,IGRJ09523-6231,,148.0840,-62.5430,14.92,11.93,16.70,0.0,1.88,1.49,2.30,1.10,0.2520,45.46,,50,Sy1.9
477,SWIFTJ0955.5+6907,148.943,69.056,13.44,M81,,148.8880,69.0650,20.26,17.58,21.85,0.0,1.99,1.75,2.25,1.40,,,,50,Sy1.9
478,SWIFTJ0956.1+6942,148.908,69.642,5.14,M82,,148.9700,69.6790,4.83,3.43,5.87,0.0,3.39,2.51,5.00,1.20,,,,130,Starburstgalaxy
479,SWIFTJ0958.0-4208,149.448,-42.153,5.81,1RXSJ095750.4-420801,,149.4611,-42.1430,7.00,5.49,8.51,0.0,3.24,2.51,4.31,0.40,,,,90,CV
480,SWIFTJ0959.5-2248,149.874,-22.828,37.62,NGC3081,,149.8731,-22.8263,81.89,79.20,84.52,0.0,1.83,1.75,1.91,3.00,0.0080,43.07,,50,Sy2
481,SWIFTJ0959.9+1303,149.847,13.012,6.07,NGC3080,,149.9827,13.0438,10.36,7.92,12.75,0.0,1.84,1.10,2.76,1.00,0.0354,43.48,,40,Sy1
482,SWIFTJ0959.7-3112,149.935,-31.210,9.84,2MASXJ09594263-3112581,,149.9277,-31.2162,15.69,13.59,17.75,0.0,2.44,2.09,2.86,0.80,0.0370,43.70,,40,Sy1
483,SWIFTJ1001.8+2848,150.508,28.798,4.18,3C234.0,,150.4563,28.7858,5.82,4.00,7.93,0.0,2.28,1.37,3.82,1.60,0.1849,44.75,,50,Sy1.9
484,SWIFTJ1001.7+5543,150.462,55.668,22.93,NGC3079,,150.4908,55.6798,36.74,34.58,39.05,0.0,1.77,1.65,1.90,5.80,0.0037,42.05,,50,Sy2
485,SWIFTJ1003.4-3726,150.859,-37.381,4.66,ESO374-G025,,150.8484,-37.3959,7.37,5.28,9.75,0.0,2.33,1.67,3.26,1.50,0.0237,42.97,,40,Sy1
486,SWIFTJ1005.9-2305,151.449,-23.052,7.33,ESO499-G041,,151.4807,-23.0569,18.06,15.10,21.27,0.0,1.62,1.19,2.07,1.10,0.0128,42.82,,50,Sy1.9
487,SWIFTJ1007.4+6534,151.880,65.583,6.02,1RXSJ100712.6+653511,,151.8069,65.5836,9.21,6.90,10.91,0.0,2.02,1.54,2.58,0.80,,,,70,UnknownAGN
488,SWIFTJ1008.6-0955,152.169,-9.891,8.56,2MASXJ10084862-0954510,,152.2025,-9.9142,18.02,14.80,20.37,0.0,1.80,1.47,2.16,1.20,0.0573,44.15,,50,Sy2
489,SWIFTJ1009.3-4250,152.460,-42.805,16.50,ESO263-G013,,152.4509,-42.8112,29.66,26.83,31.72,0.0,2.05,1.85,2.26,1.10,0.0333,43.88,,50,Sy2
490,SWIFTJ1010.0-5819,152.443,-58.292,202.61,GROJ1008-57,,152.4462,-58.2931,266.51,264.51,267.96,0.0,2.73,2.71,2.74,174.80,,,,180,HMXB
491,SWIFTJ1010.1-5747,152.788,-57.800,17.76,CD-573057,,152.7623,-57.8039,21.24,19.49,22.52,0.0,3.08,2.84,3.36,1.10,,,,100,Symbioticstar
492,SWIFTJ1013.5-3601,153.323,-35.983,8.18,ESO374-G044,,153.3330,-35.9827,23.50,20.66,26.63,0.0,1.34,1.03,1.65,0.80,0.0284,43.64,,50,Sy2
493,SWIFTJ1017.0-0404,154.292,-4.044,5.42,2MASXJ10171680-0404558,,154.3201,-4.0822,13.62,10.97,16.56,0.0,1.54,1.04,2.07,1.20,0.0408,43.72,,50,Sy2
494,SWIFTJ1020.5-0237A,155.138,-2.611,2.55,SDSSJ102103.08-023642.6,,155.2629,-2.6118,5.67,3.21,8.45,0.0,1.90,0.67,3.74,0.60,0.2940,45.19,,50,Sy2
495,SWIFTJ1020.5-0237B,155.137,-2.610,2.94,2MASXJ10195855-0234363,,154.9941,-2.5767,3.86,1.78,6.30,0.0,2.24,0.58,0.00,0.90,0.0602,43.53,,40,Sy1
496,SWIFTJ1021.7-0327,155.410,-3.455,10.07,ARK241,,155.4177,-3.4539,21.08,18.19,24.35,0.0,1.85,1.55,2.19,0.40,0.0408,43.91,,50,Sy1.9
497,SWIFTJ1023.5+1952,155.870,19.860,71.05,NGC3227,,155.8774,19.8651,112.47,110.13,115.11,0.0,2.08,2.03,2.13,4.60,0.0039,42.58,,40,Sy1.5
498,SWIFTJ1029.8-3821,157.403,-38.392,5.50,ESO317-G038,,157.4400,-38.3486,11.32,8.33,14.69,0.0,1.74,1.18,2.39,0.60,0.0152,42.77,,50,Sy2
499,SWIFTJ1031.5-4205,157.929,-42.100,8.87,ESO317-G041,,157.8463,-42.0606,12.94,10.64,15.53,0.0,2.35,1.97,2.79,1.20,0.0193,43.04,,70,UnknownAGN
500,SWIFTJ1031.5+5051,157.854,50.903,7.71,2MASXJ10311847+5053358,,157.8271,50.8933,7.85,6.54,9.53,0.0,2.85,2.25,3.68,0.90,0.3604,45.54,,80,BeamedAGN
501,SWIFTJ1031.9-1418,157.976,-14.299,17.72,2MASSiJ1031543-141651,,157.9763,-14.2809,31.47,29.31,34.29,0.0,2.18,2.00,2.38,2.60,0.0860,44.76,,40,Sy1
502,SWIFTJ1031.7-3451,157.956,-34.866,40.07,NGC3281,,157.9670,-34.8537,81.21,78.83,84.31,0.0,1.88,1.81,1.96,11.40,0.0107,43.32,,50,Sy2
503,SWIFTJ1032.7-2835,158.207,-28.534,8.54,ESO436-G034,,158.1855,-28.6101,16.55,14.15,19.67,0.0,1.93,1.56,2.35,1.10,0.0121,42.73,,50,Sy2
504,SWIFTJ1033.6+7303,158.433,73.055,8.55,CGCG333-038,,158.5981,73.0140,13.19,10.45,15.67,0.0,1.88,1.52,2.29,1.30,0.0220,43.16,,50,Sy1.9
505,SWIFTJ1033.8+5257,158.392,52.904,6.96,SDSSJ103315.71+525217.8,,158.3155,52.8716,8.58,6.25,10.71,0.0,2.27,1.81,2.85,1.70,0.0653,43.95,,70,UnknownAGN
506,SWIFTJ1037.6-5648,159.416,-56.799,20.72,4U1036-56,,159.3908,-56.7994,28.24,25.92,30.32,0.0,2.70,2.52,2.90,3.60,,,,180,HMXB
507,SWIFTJ1038.8-4942,159.692,-49.758,13.19,2MASXJ10384520-4946531,,159.6883,-49.7816,24.88,21.76,27.68,0.0,1.99,1.77,2.23,0.60,0.0600,44.33,,40,Sy1.5
508,SWIFTJ1039.8-0509,159.965,-5.159,6.22,RXJ1039.7-0507,,159.9475,-5.1162,9.77,7.17,11.55,0.0,2.50,1.89,3.34,0.80,,,,90,CV
509,SWIFTJ1040.7-4619,160.099,-46.425,11.12,2MASXJ10402231-4625264,,160.0939,-46.4238,20.92,17.95,22.98,0.0,2.01,1.74,2.31,0.90,0.0200,43.28,,50,Sy2
510,SWIFTJ1041.4-1740,160.360,-17.635,6.57,2MASXJ10410120-1734300,,160.2550,-17.5749,11.61,8.35,13.86,0.0,2.01,1.49,2.63,0.60,,,,70,UnknownAGN
511,SWIFTJ1042.4+0046,160.565,0.716,6.60,SDSSJ104208.36+004206.1,,160.5349,0.7017,10.88,8.13,12.77,0.0,2.29,1.82,2.89,0.90,0.0952,44.39,,50,Sy2
512,SWIFTJ1043.4+1105,160.844,11.082,6.98,SDSSJ104326.47+110524.2,,160.8603,11.0901,12.77,9.78,14.83,0.0,1.88,1.47,2.33,1.10,0.0476,43.83,,40,Sy1.5
513,SWIFTJ1044.1+7024,160.927,70.440,9.90,MCG+12-10-067,,161.0356,70.4054,14.80,12.62,17.00,0.0,1.90,1.60,2.22,1.90,0.0336,43.59,,50,Sy2
514,SWIFTJ1044.8-5941,161.272,-59.678,7.38,EtaCarina,,161.2650,-59.6840,7.80,6.41,9.19,0.0,3.76,2.90,5.07,1.60,,,,200,XRB
515,SWIFTJ1044.8+3812,161.185,38.146,7.86,MCG+06-24-008,,161.2040,38.1810,15.14,12.64,17.67,0.0,1.56,1.19,1.95,0.60,0.0259,43.37,,50,Sy2
516,SWIFTJ1045.3-6024,161.306,-60.411,7.56,2MASSJ10445192-6025115,,161.2163,-60.4199,14.85,12.56,17.08,0.0,1.86,1.51,2.25,1.50,,,,110,star
517,SWIFTJ1046.8+2556,161.681,25.924,13.40,UGC05881,,161.6770,25.9313,21.35,19.35,23.30,0.0,2.02,1.78,2.28,0.60,0.0205,43.31,,50,Sy2
518,SWIFTJ1048.4-2511,162.096,-25.153,9.58,NGC3393,,162.0977,-25.1621,27.35,24.26,30.33,0.0,1.44,1.15,1.72,1.20,0.0125,42.98,,50,Sy2
519,SWIFTJ1049.4+2258,162.383,22.972,19.24,Mrk417,,162.3789,22.9644,33.05,30.89,35.13,0.0,1.85,1.69,2.02,1.30,0.0328,43.91,,50,Sy2
520,SWIFTJ1051.2-1704A,162.825,-17.057,10.34,NGC3431,,162.8127,-17.0080,18.38,14.05,22.57,0.0,1.64,1.10,2.22,0.50,0.0175,43.10,,50,Sy2
